発表日,非公表,10歳未満,10,20,30,40,50,60,70,80,90歳以上,計
2020-10-19,0,0,1,0,2,2,0,0,0,0,0,5
2020-10-20,0,1,0,2,3,4,2,1,0,0,0,13
2020-10-21,0,0,0,3,0,4,1,3,1,1,1,14
2020-10-22,0,0,2,3,1,3,6,1,0,1,0,17
2020-10-23,0,0,0,3,1,1,5,1,2,5,3,21
2020-10-24,0,2,1,4,5,6,12,5,2,6,5,48
2020-10-25,0,0,4,3,1,2,3,1,0,0,1,15
2020-10-26,1,0,0,2,0,0,1,1,0,1,0,6
2020-10-27,0,0,0,1,3,0,2,3,1,0,0,10
2020-10-28,0,0,10,7,2,4,2,2,0,2,0,29
2020-10-29,0,1,2,6,2,2,2,1,0,0,1,17
2020-10-30,0,0,1,6,4,3,6,0,0,0,0,20
2020-10-31,1,0,2,8,2,6,4,1,2,2,0,28
2020-11-01,0,0,1,1,2,5,3,1,1,1,0,15
2020-11-02,0,0,0,0,2,2,2,2,1,1,0,10
2020-11-03,0,0,2,9,6,9,9,6,1,7,3,52
2020-11-04,0,0,1,4,8,4,1,1,5,6,6,36
2020-11-05,1,0,0,8,10,7,5,4,2,2,4,43
2020-11-06,0,1,5,18,8,7,6,3,0,0,1,49
2020-11-07,0,0,4,5,7,4,8,2,1,0,0,31
2020-11-08,0,1,2,11,4,5,4,1,2,2,0,32
2020-11-09,0,0,4,2,0,4,5,2,0,2,1,20
2020-11-10,2,1,3,10,9,8,8,8,6,2,1,58
2020-11-11,0,3,7,10,13,9,11,10,2,3,2,70
2020-11-12,0,2,2,16,20,11,15,4,5,4,2,81
2020-11-13,0,0,6,25,5,7,8,10,5,2,1,69
2020-11-14,0,1,9,17,9,13,12,4,5,8,1,79
2020-11-15,0,3,5,16,8,9,17,4,10,7,0,79
2020-11-16,0,2,5,11,3,5,4,4,3,1,2,40
2020-11-17,0,1,11,18,11,19,18,8,14,3,3,106
2020-11-18,0,1,9,27,14,18,11,11,9,2,1,103
2020-11-19,1,5,6,27,21,13,25,9,15,7,3,132
2020-11-20,4,2,5,24,11,23,22,10,9,12,7,129
2020-11-21,0,3,11,19,18,33,28,18,14,6,2,152
2020-11-22,4,7,14,23,19,19,15,13,7,13,4,138
2020-11-23,0,3,1,13,10,15,12,14,7,2,0,77
2020-11-24,1,1,5,6,5,12,10,7,9,13,8,77
2020-11-25,0,2,6,27,14,9,11,5,10,10,4,98
2020-11-26,0,3,27,20,20,22,31,27,12,17,5,184
2020-11-27,0,1,1,19,12,19,14,13,9,12,3,103
2020-11-28,1,1,12,33,9,22,27,11,16,9,2,143
2020-11-29,0,5,10,15,10,10,13,8,6,17,17,111
2020-11-30,0,1,11,12,4,6,9,2,3,4,3,55
2020-12-01,0,2,11,27,15,17,24,10,10,5,1,122
2020-12-02,0,5,9,21,10,17,19,15,7,9,11,123
2020-12-03,0,5,9,20,18,14,25,22,24,22,12,171
2020-12-04,0,3,9,18,12,19,26,13,13,15,1,129
2020-12-05,0,3,8,25,10,21,28,16,19,13,6,149
2020-12-06,0,2,11,21,15,16,21,11,9,9,5,120
2020-12-07,1,0,5,14,13,11,14,11,12,15,10,106
2020-12-08,0,2,7,20,18,14,19,25,11,24,5,145
2020-12-09,0,4,5,23,14,28,26,17,11,19,10,157
2020-12-10,0,10,14,24,12,22,17,15,18,6,10,148
2020-12-11,0,3,9,12,14,15,15,9,12,7,2,98
2020-12-12,1,7,8,29,14,16,15,9,12,11,13,135
2020-12-13,0,1,12,18,9,17,11,14,13,10,7,112
2020-12-14,1,3,0,6,6,8,11,6,9,11,4,65
2020-12-15,0,3,7,19,24,22,17,11,16,17,8,144
2020-12-16,0,4,9,20,9,17,22,12,16,21,5,135
2020-12-17,0,0,9,23,17,25,21,26,23,14,6,164
2020-12-18,0,1,4,14,22,20,17,15,18,13,4,128
2020-12-19,0,3,8,13,12,19,22,16,15,13,5,126
2020-12-20,1,1,8,9,11,14,8,15,20,11,5,103
2020-12-21,0,1,1,10,2,7,9,5,6,3,0,44
2020-12-22,0,6,6,18,16,28,32,25,30,19,10,190
2020-12-23,0,2,11,17,19,23,22,21,27,20,6,168
2020-12-24,0,4,1,20,16,23,21,23,25,16,3,152
2020-12-25,2,3,13,32,17,33,39,33,41,14,4,231
2020-12-26,0,6,10,35,13,26,23,17,22,14,9,175
2020-12-27,0,4,15,18,13,28,27,13,21,17,5,161
2020-12-28,0,5,6,20,13,8,17,5,13,15,5,107
2020-12-29,0,1,11,32,20,22,25,33,28,14,6,192
2020-12-30,0,5,6,29,10,22,34,26,31,19,6,188
2020-12-31,0,5,10,31,19,23,29,24,24,23,5,193
2021-01-01,0,1,17,22,12,17,12,17,15,10,5,128
2021-01-02,0,3,2,10,12,22,23,13,8,8,3,104
2021-01-03,0,6,4,13,18,16,13,13,8,4,3,98
2021-01-04,0,3,6,16,9,12,14,14,15,16,11,116
2021-01-05,0,4,9,32,23,36,41,24,21,20,7,217
2021-01-06,0,5,18,41,31,28,40,27,32,21,3,246
2021-01-07,0,7,30,58,34,40,40,36,23,13,3,284
2021-01-08,1,10,24,63,26,51,39,26,32,18,7,297
2021-01-09,0,11,23,52,43,54,48,28,26,26,13,324
2021-01-10,1,8,24,52,32,33,49,21,28,10,11,269
2021-01-11,0,8,9,22,19,16,32,12,20,11,5,154
2021-01-12,0,10,12,29,17,19,19,10,15,18,11,160
2021-01-13,0,5,20,42,34,35,45,35,30,26,13,285
2021-01-14,0,10,15,58,37,32,42,30,37,24,7,292
2021-01-15,0,13,23,49,34,27,34,35,40,16,5,276
2021-01-16,1,8,19,54,33,34,36,30,30,17,1,263
2021-01-17,0,6,16,57,52,35,35,28,27,20,12,288
2021-01-18,0,8,7,29,16,17,17,10,19,13,12,148
2021-01-19,0,1,18,40,19,36,32,20,21,16,13,216
2021-01-20,0,6,20,46,38,38,38,30,37,30,13,296
2021-01-21,1,8,16,30,30,30,26,32,26,26,11,236
2021-01-22,0,10,19,34,25,37,49,26,46,27,10,283
2021-01-23,0,9,21,22,18,34,39,21,28,23,10,225
2021-01-24,0,4,12,18,11,33,17,22,34,20,7,178
2021-01-25,0,4,4,12,13,5,13,11,12,4,2,80
2021-01-26,0,4,9,11,15,35,25,16,19,12,7,153
計,32,428,1062,2752,1814,2211,2331,1604,1632,1213,540,15619
